id,api_wellno,bht_f,bht_c,harrison_c,harrison_b,log_depth_,log_dept_1,tvd_f,tvd_m,calc_depth,harrison_1,uncorr_gra,county,cosuna_col,interval_i,decimal_lo,decimal_la,sed_thickn,heat_flow_,average_co,calc_basem,temp_est_1,temp_est_3,temp_est_4,temp_est_6,temp_est_7,temp_est_2,est_depth_,est_dept_1
e6a8e374-8560-356e-9b04-9cbb610aeff4,3.10E+13,138,58.9,11.9,70.8,7037,2144.9,7560,2304.3,2144.9,28.8,23.26,Allegany,NY28,31003042480000b,-78.1599,42.47049,2404.319149,57.59,2,2.52,55.4,87.1,116,143.2,168.9,209.1,7357,2806
834ecbf8-c080-3cfe-952c-6be64b2c404d,3.10E+13,93,33.9,-1.2,32.7,3148,959.5,3146,958.9,958.9,24.76,25.96,Allegany,NY28,31003136840000b,-77.98481,42.44087,2639.882434,43.41,1.754,1.08,45.6,69.4,91.5,112.8,133.4,166.6,8909,3662
2e366a93-6c51-3600-bb0d-8191c69823c1,3.10E+13,73,22.8,-4.1,18.6,2465,751.3,2460,749.8,749.8,12.86,18.38,Allegany,NY28,31003162020000a,-78.1689,42.42759,2541.083708,22.56,1.754,1,27.6,39.4,51.2,63.6,76.6,99.4,12739,6474
629cee73-42e7-3af2-b67d-90c05c7009c2,3.10E+13,97,36.1,3.2,39.3,4245,1293.9,4262,1299.1,1293.9,23.43,20.95,Allegany,NY28,31003162380000b,-78.17901,42.42099,2545.437918,41.08,1.754,0.85,43,66.2,87.1,107.4,127.2,159.2,9359,3935
c7ea1488-12ee-3fb2-96f9-1cf9264a017c,3.10E+13,110,43.3,2.6,45.9,4080,1243.6,4115,1254.3,1243.6,29.68,27.61,Allegany,NY28,31003165570000a,-78.01709,42.17199,3308.56938,52.05,1.754,1.93,51.3,84.9,112.7,137.9,161.9,199.6,6823,2758
40435672-00de-391f-a4cc-108224b7fa68,3.10E+13,106,41.1,12.2,53.3,7153,2180.2,9640,2938.3,2180.2,20.31,14.73,Broome,NY29,31007050870000b,-75.94751,42.32353,3281.447465,41.86,2.061,0.88,39.8,66.2,88.2,108.8,128.8,161.1,9499,4023
a41abe01-5baf-3065-b125-f3dd6895c935,3.10E+13,132,55.6,16.9,72.5,9626,2934,9640,2938.3,2934,21.63,15.87,Broome,NY29,31007050870100a,-75.94751,42.32353,3281.447465,45.57,2.107,1.26,42.6,71.5,94.9,117.1,138.6,172.8,8914,3634
ce841808-fc05-3b86-89c6-d4b9740b8bff,3.10E+13,159,70.6,17.2,87.8,9874,3009.6,9874,3009.6,3009.6,26.18,20.45,Broome,NY29,31007229840000a,-75.67031,42.17821,3658.30133,56.32,2.152,2.43,50.6,85.4,117.6,144.9,170.6,210.6,6903,2751
bbca34d2-bb42-3bd5-a6bc-88f6ee9912cc,3.10E+13,157,69.4,17.2,86.6,9843,3000.1,9876,3010.2,3000.1,25.88,20.15,Broome,NY29,31007229840100a,-75.67031,42.17821,3658.30133,55.67,2.151,2.36,50.1,84.5,116.3,143.3,168.8,208.4,7002,2792
371d3717-5a12-360a-ab18-3709ac12067b,3.10E+13,170,76.7,17.5,94.2,10181,3103.2,10126,3086.4,3086.4,27.61,21.92,Broome,NY29,31007229950000b,-75.83353,42.13741,3824.826812,59.39,2.151,2.79,52.7,90,124.7,153.6,180.6,222.2,6322,2509
